@relation websiteVisitor

@attribute Day {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}
@attribute PageLoad numeric
@attribute UniqueVisits numeric
@attribute FirstTimeVisits numeric
@attribute ReturnVisits numeric

@data
Sunday,1742,1197,958,239
Saturday,1909,1444,1155,289
Sunday,1969,1419,1156,263
Saturday,1992,1434,1158,276
Tuesday,2298,1440,1159,281
Saturday,2287,1423,1160,263
Saturday,2006,1471,1161,310
Friday,2163,1521,1163,358
Friday,2273,1541,1164,377
Saturday,2169,1470,1169,301
Tuesday,2208,1424,1172,252
Sunday,2105,1474,1173,301
Sunday,1896,1409,1186,223
Saturday,2279,1498,1196,302
Sunday,2070,1473,1197,276
Saturday,2241,1523,1204,319
Sunday,2221,1489,1204,285
Friday,2446,1544,1211,333
Friday,2433,1609,1214,395
Sunday,2179,1480,1214,266
Tuesday,2218,1566,1217,349
Saturday,2042,1429,1223,206
Sunday,2149,1517,1224,293
Monday,2173,1472,1228,244
Saturday,2345,1544,1229,315
Sunday,2070,1497,1231,266
Friday,2217,1583,1235,348
Saturday,2262,1490,1235,255
Saturday,1946,1414,1239,175
Wednesday,2357,1594,1243,351
Saturday,2049,1488,1244,244
Sunday,2248,1561,1246,315
Saturday,2281,1548,1255,293
Friday,2386,1626,1257,369
Friday,2293,1589,1257,332
Saturday,2223,1557,1262,295
Sunday,2415,1619,1266,353
Saturday,2202,1496,1270,226
Saturday,2054,1436,1274,162
Saturday,2128,1567,1277,290
Saturday,2045,1513,1278,235
Saturday,2303,1589,1278,311
Friday,2477,1613,1279,334
Sunday,2180,1562,1279,283
Tuesday,2634,1868,1415,453
Saturday,2285,1619,1416,203
Sunday,2517,1686,1416,270
Saturday,2354,1661,1417,244
Thursday,2583,1783,1418,365
Sunday,2479,1795,1419,376
Tuesday,2815,1786,1419,367
Saturday,2411,1760,1420,340
Thursday,2608,1824,1421,403
Saturday,2511,1750,1423,327
Sunday,2412,1765,1423,342
Thursday,2809,1797,1425,372
Friday,2658,1843,1429,414
Saturday,2581,1761,1429,332
Sunday,2146,1582,1430,152
Wednesday,2755,1911,1436,475
Saturday,2264,1679,1437,242
Saturday,2481,1778,1437,341
Thursday,2849,1908,1440,468
Saturday,2262,1657,1443,214
Friday,2469,1850,1445,405
Sunday,2234,1715,1446,269
Thursday,2649,1894,1447,447
Monday,2568,1844,1448,396
Sunday,2446,1761,1452,309
Sunday,2430,1808,1453,355
Saturday,2458,1788,1459,329
Saturday,2430,1827,1461,366
Saturday,2431,1716,1463,253
Thursday,2670,1864,1463,401
Tuesday,2914,1957,1463,494
Tuesday,2675,1846,1471,375
Saturday,2633,1818,1473,345
Monday,2838,1829,1474,355
Thursday,2738,1976,1474,502
Wednesday,2885,1915,1476,439
Saturday,2383,1765,1477,288
Saturday,2739,1793,1477,316
Monday,2902,1954,1479,475
Saturday,2613,1884,1480,404
Monday,2872,1978,1481,497
Sunday,2288,1656,1481,175
Saturday,2621,1826,1482,344
Friday,2440,1848,1488,360
Wednesday,2983,1925,1490,435
Sunday,2822,1869,1495,374
Saturday,2586,1820,1496,324
Saturday,2514,1839,1496,343
Saturday,2302,1754,1503,251
Saturday,2395,1797,1503,294
Sunday,2763,1919,1506,413
Sunday,2379,1812,1507,305
Wednesday,2704,1961,1511,450
Saturday,2708,1807,1512,295
Saturday,2811,1901,1512,389
Friday,2560,1867,1519,348
Sunday,2679,1892,1519,373
Sunday,2425,1809,1521,288
Sunday,2659,1840,1523,317
Monday,2948,1998,1528,470
Saturday,2792,1947,1533,414
Saturday,2619,1901,1534,367
Wednesday,2843,1994,1536,458
Saturday,2607,1888,1537,351
Saturday,2605,1838,1538,300
Friday,3140,2002,1539,463
Saturday,2743,1882,1541,341
Sunday,2491,1762,1541,221
Friday,2934,1979,1543,436
Saturday,2733,1955,1549,406
Thursday,2933,2043,1550,493
Saturday,2636,1930,1552,378
Friday,2699,1902,1554,348
Sunday,2687,1910,1555,355
Thursday,2951,2047,1555,492
Friday,2748,1879,1559,320
Friday,2944,1973,1564,409
Friday,3053,2008,1568,440
Saturday,2606,1892,1568,324
Saturday,2455,1823,1569,254
Tuesday,2883,2047,1639,408
Friday,2943,1928,1640,288
Saturday,2739,1978,1647,331
Saturday,2763,1981,1648,333
Sunday,2925,2046,1648,398
Wednesday,3028,2145,1649,496
Saturday,2971,2011,1651,360
Saturday,2799,1974,1652,322
Monday,2959,2144,1653,491
Saturday,2525,1986,1656,330
Friday,2921,2101,1660,441
Sunday,2814,2000,1661,339
