@relation websiteVisitor

@attribute PageLoad numeric
@attribute UniqueVisits numeric

@data
1017,724
1115,825
1188,836
1240,888
1277,903
1225,901
1355,892
1326,895
1242,891
1296,925
1300,895
1265,876
1339,923
1280,923
1271,908
1387,930
1304,951
1261,934
1447,958
1334,936
1453,948
1430,947
1381,955
1345,941
1411,960
1562,1045
1486,1005
1609,1015
1587,1035
1546,1071
1530,1076
1615,1039
1447,1039
1380,1011
1546,1071
1523,1074
1688,1080
1526,1112
1723,1159
1474,1054
1709,1120
1606,1142
1578,1099
1553,1122
1715,1168
1602,1104
1603,1170
1470,1090
1622,1121
1532,1108
1741,1147
1511,1172
1664,1177
1834,1145
1742,1096
1690,1155
1828,1222
1827,1193
1852,1214
1546,1187
1737,1197
1742,1197
1838,1197
1655,1244
1523,1178
1676,1211
1658,1118
1996,1277
1731,1241
1694,1197
1852,1249
1859,1223
1786,1287
1685,1208
1913,1281
2143,1317
1819,1229
1960,1341
1835,1310
1752,1266
1736,1227
1800,1251
1788,1307
1948,1288
1795,1305
1656,1180
1751,1237
1938,1304
1829,1289
1922,1316
1952,1240
1829,1264
1799,1284
1909,1339
2216,1410
2147,1478
1857,1319
1985,1340
2068,1407
1826,1358
1966,1376
2481,1438
1780,1354
2074,1394
2073,1498
2030,1420
1998,1373
2071,1370
2186,1447
2014,1430
1960,1370
2147,1418
2185,1440
1944,1465
2420,1538
2042,1478
1909,1444
1969,1419
1992,1434
2298,1440
2287,1423
2006,1471
2163,1521
2273,1541
2169,1470
2208,1424
2105,1474
1896,1409
2279,1498
2070,1473
2241,1523
2221,1489
2446,1544
2433,1609
2179,1480
2218,1566
2042,1429
2149,1517
2173,1472
2345,1544
2070,1497
2217,1583
2262,1490
1946,1414
2357,1594
2049,1488
2248,1561
2281,1548
2386,1626
2293,1589
2223,1557
2415,1619
2202,1496
2054,1436
2128,1567
2045,1513
2303,1589
2477,1613
2180,1562
2080,1457
2085,1488
2207,1531
2181,1567
2130,1542
2424,1613
2397,1644
2068,1562
2468,1710
2382,1618
2258,1641
2504,1726
2073,1559
2229,1622
2278,1634
2401,1693
2353,1621
2519,1687
2388,1618
2344,1636
2205,1637
2373,1655
2182,1565
2153,1577
2260,1664
2253,1649
2391,1652
2162,1651
2260,1701
2365,1688
2422,1673
2344,1639
2371,1678
2010,1536
2341,1611
2392,1704
2297,1629
2350,1677
